title,description,category
The ultimate TRUMP CARDS: Swing states played key role in Donald Trump’s decisive win over Kamala Harris,"Donald Trump has become the 47th president of the United States following his decisive victory over Kamala Harris. The call was made at around 1:30 a.m. Eastern Standard Time after elections observer Decision Desk HQ, along with multiple mainstream media outl…",analysis
‘Numbers Are Shocking’: Catholic Voters Played Key Role In Sinking Kamala Harris’ Presidential Bid,"Catholic voters turned out for President-elect Donald Trump at an unprecedentedly high rate Tuesday, swinging the election in his favor.",analysis
"FACT CHECK: No, Joe Biden Did Not Tell Kamala Harris ‘That’s What You Get’","A post shared on social media purports that President Joe Biden posted “that’s what you get” in response to the polls on election night. pic.twitter.com/0VNzO8WH9l — AB (@AB84) November 6, 2024 Verdict: False The claim is inaccurate. Fact Check: Vice Presiden…",fallout
Democrat Rep Ro Khanna Says Kamala Harris Messed Up By Not Going On Joe Rogan’s Show,Democratic California Rep. Ro Khanna said that Vice President Kamala Harris should have appeared on prominent podcaster Joe Rogan's show before the election.,fallout
‘It’s Literally That Simple’: Charlamagne Tha God Tells ABC Host Two Issues Killed Kamala Harris’ Chances,Charlamagne tha God told Jonathan Karl that Kamala Harris lost the election because voters trusted former President Donald Trump more on two key issues.,analysis
‘No Respect’: Philadelphia DNC Chair Bob Brady Goes After Kamala Harris As Finger-Pointing Battle Heats Up,"Former Rep. Bob Brady attacked Kamala Harris hours after her election loss, claiming her lack of coordination with Philadelphia Democrats led to her demise.",fallout
Election Forecaster Who Gave Win to Kamala Harris Blames Elon Musk for Inaccurate Prediction: He Put 'His Thumb on the Scales',Presidential historian Allan Lichtman cited Elon Musk's influence on social media as a key reason he incorrectly forecasted a Kamala Harris victory.,analysis
Taliban Official Mocks US for Rejecting Kamala Harris: 'Americans Are Not Ready to Hand Over' Country 'to a Woman',A Taliban official mocked Americans' reluctance to elect a female leader after Donald Trump's 2024 presidential victory.,fallout
Kamala Harris 'Paid More Than Double' What Was Estimated to Oprah Winfrey During her Flop White House Bid,New sources revealed Harris spent more than double what was originally reported to have been spent on a live-streamed September event hosted by Winfrey.,campaign activity
Kamala Harris Still Begging Voters For Donations — Despite Election Thumping and Already Pulling in Over $1Billion For Failed Campaign,"More than a week after Vice President Kamala Harris' loss against Donald Trump, her campaign is still seeking for donations despite raising $1 billion.",campaign activity
Joe Biden's White House Smile Sparks Fevered Rumors He Secretly Voted for Trump and is 'Glad' Kamala Harris Lost Election,Joe Rogan pointed out how Joe Biden appeared surprisingly happy during his interaction with Donald Trump.,fallout
Jeff Bezos Selling His 'Old' $39Million Private Jet as His Prized 'Washington Post' Burns After Decision to Block Paper's Kamala Harris Endorsement,"The businessman, the second richest man in the world, has decided to sell one of his private jets for almost $40million.",celebrity
How Prince Harry and Meghan Markle are Stuck in 'Hellish Situation' After Kamala Harris Failed to Trounce Trump in U.S. Election,Harry and Meghan are wondering where they will be living in the near future and whether that will still be in America following Trump's victory.,fallout
Seething 'Selling Sunset’ Star Chrishell Stause Slams Rumors She Was Paid to Back Kamala Harris,"Selling Sunset star Chrishell Stause has shot down rumors she was paid to back Kamala Harris in the Presidential Election, before ranting about Donald Trump.",campaign activity
Defeated Democrats Turn On Nancy Pelosi After Attacking George Clooney in 'Desperate Scattergun' Blame Game for Kamala Harris' Election Bloodbath,"After Kamala Harris' loss against Donald Trump in the presidential election, Democrats are now pointing fingers amid their 'desperate' blame game.",fallout
Democrats Plunged Into 'Shivving' Election Scandal: Biden's Team 'Was Secretly Briefing Reporters Kamala Harris Was Incapable of Beating Trump',"Podcast host Jon Favreau claimed the Biden camp was 'shivving' Kamala Harris, who ultimately lost the electoral college and the popular vote.",fallout
She's Not Laughing Now: We Analyze Kamala Harris' Cackle — As Experts Ask if It Cost Her the Election,Vice President Kamala Harris has condemned people who 'love to talk about the way' she laugh as some people believe it played a part in her losing the election.,analysis
Trump Lackey Elon Musk's Biggest Controversies: From Targeting The Don's Showbiz Nemesis Taylor Swift to Bitter Attacks on Joe Biden and Kamala Harris,"Elon Musk has frequently sparked unrest due to his provocative statements and controversies, and he may be an even bigger voice following Trump's win.",trump
"Sore-Losing Liberal Sally Field, 78, Trashes Kamala Harris Campaign Signs After Donald Trump's Crushing Victory — As Bleeding Heart Celebs Vow to Flee U.S.",The 78-year-old actress furiously tossed her Harris/Walz yard signs following Trump's win after previously endorsing the Democrat with a personal abortion story.,fallout
"How Disturbing Conspiracy Theory 'Links' Between Kamala Harris, 'Diddy' and Jeffrey Epstein Were Used to Help Donald Trump Win the White House","Donald Trump used Kamala Harris' links with Sean 'Diddy' Combs and the wild conspiracy theories associated with the pair to win the election, it's been claimed.",analysis
One moment in the presidential debate foreshadowed Kamala Harris’ loss,Donald Trump's victory reminds us that Americans have felt something is wrong with our government and politics since the housing and financial crisis of 2008.,analysis
One sentence sums up Kamala Harris' misread of the election,Why Harris lost the election to Trump is a complicated question. Part of it is tied to her failure to outline what she would have done differently than Biden.,analysis
"Leave it To Internet 'Karen' Bethenny Frankel To Drag Another Woman, This Time It's Kamala Harris","On Wednesday, reality star and resident internet Karen Bethenny Frankel took to Instagram to share her thoughts on why Vice President Kamala Harris lost the presidential election. Read more...",fallout
WATCH: Stephen A. Smith Had the Audacity to Blame These Black Women for Kamala Harris Losing the Presidential Election,"In the wake of Kamala Harris’ defeat in the 2024 presidential election, countless TV pundits and political analysts are weighing in on what went wrong with the Democrats’ campaign. Well, rest easy because Stephen A. Smith knows exactly who to blame. Yes, the …",fallout
"Brendan Carr says Trump's complaint over a 60 Minutes interview with Kamala Harris is ""likely to arise"" in the FCC's review of the Skydance-Paramount deal (Ted Johnson/Deadline)","Ted Johnson / Deadline: Brendan Carr says Trump's complaint over a 60 Minutes interview with Kamala Harris is “likely to arise” in the FCC's review of the Skydance-Paramount deal  —  In an interview with Fox News' America's Newsroom, Carr said, “Broadcasters …",trump
