title,description,topic
Is Kamala Harris 'Giving Up' On North Carolina? What We Know,"One of Donald Trump's top political strategists has claimed the Kamala Harris presidential campaign is ""giving up on North Carolina"" after it was reported they had canceled over $1,700,000 of reserved television advertising in the battleground state. On Tuesd…",Analysis
Here’s how much more Kamala Harris could earn if she wins the election,"Kamala Harris is not in for much of a surprise when it comes to pay if she gets elected come this November. That’s because the presidential salary has stayed the same since before the 21st century—last changing in 1999, under the Clinton administration. Even …",Analysis
Ex-Obama aide explains why Kamala Harris is losing Gen Z men to Donald Trump,"Vice President Kamala Harris is an outspoken fan of Gen Zers. But she’s lagging behind in young male support—which could be a big problem, Dan Pfeiffer, who was a senior advisor to former President Barack Obama, has warned. In a Tuesday appearance on CNN’s Th…",Analysis
Half of Voters Say Donald Trump Is a Fascist. Some Say Kamala Harris Is Too,"Half of Americans see former President Donald Trump as a fascist, according to a new ABC News/Ipsos poll, roughly twice as many who say the same of Vice President Kamala Harris. Less than two weeks before Election Day, 44 percent of registered voters said Tru…",Analysis
Why Kamala Harris made her 'closing argument' in front of the White House,"The setting was an explicit nod toward January 6, even if her speech wasn't mainly about that. Brendan Smialowski/AFP via Getty Images Harris delivered a ""closing argument"" speech at the same spot Trump held his January 6 rally. It was the VP's last chance at…",Campaign Activity
"Willie Nelson On Cannabis Reform, Kamala Harris, New Album, Cooking With Weed","Iconic singer and songwriter Willie Nelson, who is 91 years old, remains as passionate as ever as he speaks out against outdated marijuana laws and voices support for Kamala Harris , who he says will be good for most needed federal cannabis reform. ""There are…",Celebrity
Who Is Ann Selzer? Pollster's Record as Iowa Poll Shows Kamala Harris Ahead,"Selzer, who accurately predicted Donald Trump's 2016 and 2020 Iowa wins, now has Harris three points ahead of him.",Analysis
"Donald Trump leads on immigration and inflation, Kamala Harris on abortion and health care",A recent poll finds that Americans think Kamala Harris would do a far better job handling LGBTQ issues and abortion while Trump would do a much better job handling immigration and the Israeli-Palestinian conflict.,Analysis
"Elon Musk's PAC sends Republicans texts impersonating Kamala Harris without disclaimers, pushing policies Harris doesn't support, and ups its social ads spend","An Elon Musk-funded super PAC has expanded an advertising campaign in which it is impersonating Democrats and targeting registered Republicans with policies unpopular with conservatives they say Kamala Harris will pass if she wins the election. The policies, …",Celebrity
"Black, Latino, Women Healthcare Leaders Sign Letters In Support Of Kamala Harris","More than two dozen Black and Latino health tech leaders have endorsed Kamala Harris for president. Another group of over 500 women healthcare leaders has also come out in support of Harris. The post Black, Latino, Women Healthcare Leaders Sign Letters In Sup…",Campaign Activity
