topic,word,score
Analysis,harris,10.330721004957072
Analysis,kamala,9.52961945988317
Analysis,trump,6.401292161771439
Analysis,president,5.692003950958199
Analysis,donald,5.397773123445208
Analysis,election,5.374458551703194
Analysis,voters,4.686600717719055
Analysis,campaign,4.107952699331741
Analysis,poll,3.788437599738943
Analysis,presidential,3.446912286015997
Campaign Activity,harris,9.118458459599115
Campaign Activity,kamala,8.50271385578021
Campaign Activity,campaign,4.873489847442456
Campaign Activity,president,4.154305353918897
Campaign Activity,trump,3.8637561072709032
Campaign Activity,election,3.752966781714335
Campaign Activity,vice,3.5135566783102776
Campaign Activity,donald,3.1489370787838795
Campaign Activity,million,3.1160571447465903
Campaign Activity,presidential,2.559160763115744
Celebrity,harris,7.60576791370509
Celebrity,kamala,7.253871153861869
Celebrity,rally,5.711508499025107
Celebrity,beyonc,3.9958775834636846
Celebrity,paid,3.8186208070109147
Celebrity,president,3.555329970099208
Celebrity,trump,3.483713525413156
Celebrity,oprah,3.4531354835641026
Celebrity,campaign,3.337642047709881
Celebrity,winfrey,3.227488319914478
Fallout & Moving Forward,harris,8.635801883342891
Fallout & Moving Forward,kamala,8.196877869116623
Fallout & Moving Forward,election,5.587117552172156
Fallout & Moving Forward,biden,5.113860744803839
Fallout & Moving Forward,president,5.042934154747416
Fallout & Moving Forward,trump,4.315718833108149
Fallout & Moving Forward,loss,3.905236145051214
Fallout & Moving Forward,donald,3.5736554072076023
Fallout & Moving Forward,joe,3.4776493072129964
Fallout & Moving Forward,vice,3.4598512565163593
Trump,trump,2.544205593951485
Trump,harris,2.5093394493104455
Trump,kamala,2.5093394493104455
Trump,donald,2.018174941403908
Trump,interview,1.800379505526714
Trump,cbs,1.6167436049734123
Trump,campaign,1.373046944090227
Trump,trumps,1.3587835724956454
Trump,minutes,1.256170248021747
Trump,president,1.2488224573220215
