topic,word,score
Analysis,harris,6.405136170878748
Analysis,kamala,5.640981772292553
Analysis,election,3.438886771070784
Analysis,trump,3.3613212633532825
Analysis,voters,2.9368481182480877
Analysis,president,2.849784332995327
Analysis,donald,2.7563963890929886
Analysis,lost,2.5980049013827804
Analysis,joe,2.2902324506682676
Analysis,did,2.1741199261567425
Campaign Activity,harris,3.047290450569513
Campaign Activity,kamala,2.912948869761169
Campaign Activity,campaign,2.791980426202331
Campaign Activity,billion,1.8382969324684235
Campaign Activity,million,1.5432054430221447
Campaign Activity,president,1.5375717965098659
Campaign Activity,donations,1.3374484571129663
Campaign Activity,vice,1.2992783468304865
Campaign Activity,winfrey,1.267976766661555
Campaign Activity,paid,1.1854084672247025
Celebrity,harris,2.779723040137839
Celebrity,paid,2.7074250433925067
Celebrity,oprah,2.6506080785010417
Celebrity,kamala,2.5744403044234683
Celebrity,winfrey,2.416600536242479
Celebrity,million,1.8850912928813932
Celebrity,campaign,1.712156695065113
Celebrity,rally,1.4709092159080304
Celebrity,endorse,1.3565594306674684
Celebrity,cardi,1.1892959042666542
Fallout & Moving Forward,harris,8.635801883342891
Fallout & Moving Forward,kamala,8.196877869116621
Fallout & Moving Forward,election,5.587117552172155
Fallout & Moving Forward,biden,5.113860744803838
Fallout & Moving Forward,president,5.042934154747416
Fallout & Moving Forward,trump,4.31571883310815
Fallout & Moving Forward,loss,3.905236145051214
Fallout & Moving Forward,donald,3.573655407207603
Fallout & Moving Forward,joe,3.4776493072129973
Fallout & Moving Forward,vice,3.4598512565163593
Trump,harris,1.186928949440567
Trump,kamala,1.186928949440567
Trump,trump,1.1014350011023908
Trump,campaign,0.9506401105166286
Trump,interview,0.8435179658092709
Trump,debt,0.7331534571249502
Trump,fcc,0.723115245072949
Trump,carr,0.7189505477140506
Trump,donald,0.6713000239906667
Trump,says,0.6508107733810939
